purchase_id,purchase_partition,order_transaction_cost_vat_value,order_transaction_cost_installment_value,order_transaction_cost_date,transaction_datetime,transaction_date
62,200,46.52,25.79,2023-02-02,2023-02-03 10:17:00,2023-02-03
55,500,379.64,164.96,2023-02-12,2023-02-15 11:14:00,2023-02-15
72,200,236.49,117.31,2023-01-16,2023-01-17 13:37:00,2023-01-17
69,900,106.14,28.87,2023-01-17,2023-01-20 17:53:00,2023-01-20
51,100,302.37,111.06,2023-01-20,2023-01-22 20:34:00,2023-01-22
60,0,351.29,130.52,2023-01-25,2023-01-26 09:10:00,2023-01-26
54,400,184.89,64.3,2023-01-20,2023-01-21 23:35:00,2023-01-21
70,0,243.27,84.5,2023-01-28,2023-01-30 17:10:00,2023-01-30
58,800,162.74,62.47,2023-02-01,2023-02-07 20:41:00,2023-02-07
76,600,300.52,104.31,2023-02-27,2023-03-03 00:00:00,2023-03-03
77,700,281.15,65.19,2023-02-18,2023-02-21 08:31:00,2023-02-21
75,500,30.36,9.15,2023-02-11,2023-02-12 02:56:00,2023-02-12
65,500,302.12,100.66,2023-01-17,2023-01-17 03:39:00,2023-01-17
71,100,72.36,12.85,2023-02-14,2023-02-19 17:03:00,2023-02-19
52,200,110.9,74.66,2023-02-07,2023-02-07 17:50:00,2023-02-07
63,300,311.93,52.54,2023-01-24,2023-01-29 09:59:00,2023-01-29
78,800,234.6,160.3,2023-02-17,2023-02-19 01:40:00,2023-02-19
59,900,113.39,80.09,2023-02-20,2023-02-21 19:11:00,2023-02-21
79,900,71.85,55.56,2023-02-05,2023-02-10 21:38:00,2023-02-10
74,400,108.86,17.95,2023-02-06,2023-02-08 14:00:00,2023-02-08
66,600,200.86,74.27,2023-02-05,2023-02-07 07:30:00,2023-02-07
57,700,146.11,96.68,2023-01-17,2023-01-17 23:48:00,2023-01-17
64,400,103.05,69.04,2023-02-05,2023-02-09 10:55:00,2023-02-09
61,100,338.66,74.69,2023-02-15,2023-02-18 20:02:00,2023-02-18
67,700,9.34,5.6,2023-02-09,2023-02-10 16:32:00,2023-02-10
53,300,99.95,82.86,2023-02-19,2023-02-23 00:14:00,2023-02-23
63,300,311.93,52.54,2023-01-24,2023-01-29 09:59:00,2023-01-29
68,800,179.88,69.23,2023-02-04,2023-02-08 14:28:00,2023-02-08
56,600,204.31,32.08,2023-02-24,2023-02-27 18:07:00,2023-02-27
73,300,65.84,9.01,2023-02-16,2023-02-18 04:06:00,2023-02-18
50,0,187.49,109.6,2023-02-13,2023-02-15 12:58:00,2023-02-15
