prod_item_id,prod_item_partition,product_id,item_quantity,purchase_value,transaction_datetime,transaction_date
11.0,100.0,846484,56,1180.13,2023-02-25 00:31:00,2023-02-25
10.0,0.0,862280,3,2427.48,2023-02-14 01:17:00,2023-02-14
29.0,900.0,176043,87,771.24,2023-02-08 08:57:00,2023-02-08
30.0,0.0,312995,101,317.06,2023-02-13 09:06:00,2023-02-13
23.0,300.0,928872,19,1041.85,2023-02-19 09:09:00,2023-02-19
25.0,500.0,634989,23,1965.15,2023-01-31 18:18:00,2023-01-31
31.0,100.0,530089,72,1756.78,2023-02-27 00:22:00,2023-02-27
26.0,600.0,282163,60,438.26,2023-02-17 11:07:00,2023-02-17
14.0,400.0,516518,82,1252.5,2023-03-04 03:15:00,2023-03-04
9.0,900.0,815602,11,2073.39,2023-01-20 11:35:00,2023-01-20
16.0,600.0,189201,96,2016.79,2023-02-16 21:58:00,2023-02-16
18.0,800.0,196067,7,1972.64,2023-01-26 03:41:00,2023-01-26
31.0,100.0,530089,72,1756.78,2023-02-27 00:22:00,2023-02-27
20.0,0.0,621427,93,1679.3,2023-01-18 12:36:00,2023-01-18
17.0,700.0,263348,28,370.89,2023-02-03 08:34:00,2023-02-03
24.0,400.0,471313,111,721.43,2023-01-17 08:39:00,2023-01-17
6.0,600.0,654548,16,1908.82,2023-01-20 16:34:00,2023-01-20
21.0,100.0,354050,6,1728.94,2023-02-18 08:55:00,2023-02-18
33.0,300.0,717168,95,2258.94,2023-02-20 12:54:00,2023-02-20
27.0,700.0,165220,35,1812.84,2023-01-17 05:02:00,2023-01-17
34.0,400.0,564395,82,782.24,2023-02-07 18:49:00,2023-02-07
28.0,800.0,863703,25,401.97,2023-02-17 22:31:00,2023-02-17
25.0,500.0,634989,23,1997.68,2023-02-18 18:18:00,2023-02-18
9.0,900.0,815602,11,2108.91,2023-02-01 11:35:00,2023-02-01
32.0,200.0,346668,55,1799.3,2023-02-18 19:16:00,2023-02-18
12.0,200.0,763249,39,1715.55,2023-01-17 16:10:00,2023-01-17
21.0,100.0,354050,6,1595.93,2023-02-06 08:55:00,2023-02-06
13.0,300.0,793260,40,941.89,2023-02-03 21:57:00,2023-02-03
22.0,200.0,386191,88,101.27,2023-02-12 10:51:00,2023-02-12
5.0,500.0,672596,12,1750.99,2023-02-16 13:34:00,2023-02-16
15.0,500.0,466044,71,2085.88,2023-01-27 02:59:00,2023-01-27
7.0,700.0,119033,24,942.73,2023-02-07 07:03:00,2023-02-07
22.0,200.0,386191,88,103.67,2023-02-24 10:51:00,2023-02-24
19.0,900.0,939900,104,1160.82,2023-02-07 20:17:00,2023-02-07
20.0,0.0,621427,93,1769.32,2023-02-03 12:36:00,2023-02-03
30.0,0.0,312995,101,321.69,2023-02-25 09:06:00,2023-02-25
23.0,300.0,928872,19,1036.11,2023-02-06 09:09:00,2023-02-06
14.0,400.0,516518,82,1202.37,2023-02-21 03:15:00,2023-02-21
8.0,800.0,390774,62,1122.45,2023-02-21 17:50:00,2023-02-21
