purchase_id,buyer_id,prod_item_id,order_date,release_date,producer_id,purchase_partition,prod_item_partition,purchase_total_value,purchase_status,transaction_datetime,transaction_date
55,281746,10,2023-02-12,2023-02-15,855351,500,0,2427.48,APROVADA,2023-02-13 07:01:00,2023-02-13
56,183717,11,2023-02-24,2023-02-28,889137,600,100,1180.13,APROVADA,2023-02-25 18:03:00,2023-02-25
64,392378,19,2023-02-05,2023-02-10,932969,400,900,1160.82,APROVADA,2023-02-21 06:37:00,2023-02-21
69,496406,24,2023-01-17,,970679,900,400,721.43,INICIADA,2023-01-17 22:56:00,2023-01-17
77,234134,32,2023-02-18,2023-02-22,853173,700,200,1799.3,APROVADA,2023-02-18 22:31:00,2023-02-18
75,345013,30,2023-02-11,,926055,500,0,317.06,INICIADA,2023-02-11 02:44:00,2023-02-11
70,124630,25,2023-01-28,2023-01-29,983529,0,500,1965.15,APROVADA,2023-01-30 04:22:00,2023-01-30
68,158935,23,2023-02-04,,869499,800,300,1036.11,INICIADA,2023-02-06 21:05:00,2023-02-06
52,361563,7,2023-02-07,2023-02-08,957212,200,700,942.73,APROVADA,2023-02-07 14:05:00,2023-02-07
79,143398,34,2023-02-05,,825515,900,400,782.24,INICIADA,2023-02-06 03:35:00,2023-02-06
67,384849,22,2023-02-09,2023-02-13,913074,700,200,101.27,APROVADA,2023-02-10 07:01:00,2023-02-10
62,417807,17,2023-02-02,2023-02-08,968337,200,700,370.89,APROVADA,2023-02-12 21:58:00,2023-02-12
66,78500,21,2023-02-05,2023-02-06,930885,600,100,1595.93,APROVADA,2023-02-07 20:53:00,2023-02-07
63,344422,18,2023-01-24,,966546,300,800,1972.64,INICIADA,2023-01-25 11:48:00,2023-01-25
61,224204,16,2023-02-15,2023-02-19,925952,100,600,2016.79,APROVADA,2023-02-15 17:43:00,2023-02-15
65,257747,20,2023-01-17,,913747,500,0,1679.3,INICIADA,2023-01-17 10:58:00,2023-01-17
64,392378,19,2023-02-05,2023-02-10,932969,400,900,1160.82,APROVADA,2023-03-12 06:37:00,2023-03-12
53,99449,8,2023-02-19,2023-02-22,985352,300,800,1122.45,APROVADA,2023-02-19 04:19:00,2023-02-19
59,47408,14,2023-02-20,,893910,900,400,1202.37,INICIADA,2023-02-20 06:01:00,2023-02-20
76,187288,31,2023-02-27,,867788,600,100,1756.78,CANCELADA,2023-02-27 23:18:00,2023-02-27
63,344422,18,2023-01-24,,966546,300,800,1972.64,INICIADA,2023-01-25 11:48:00,2023-01-25
57,105372,12,2023-01-17,,899557,700,200,1715.55,INICIADA,2023-01-17 10:56:00,2023-01-17
78,396613,33,2023-02-17,2023-02-24,889871,800,300,2258.94,APROVADA,2023-03-07 13:08:00,2023-03-07
69,496406,24,2023-01-17,,970679,900,400,721.43,CANCELADA,2023-01-26 22:56:00,2023-01-26
58,462038,13,2023-02-01,2023-02-05,948951,800,300,941.89,APROVADA,2023-02-03 06:57:00,2023-02-03
62,417807,17,2023-02-02,2023-02-03,968337,200,700,370.89,APROVADA,2023-02-03 21:58:00,2023-02-03
75,345013,30,2023-02-11,,926055,500,0,317.06,CANCELADA,2023-02-24 02:44:00,2023-02-24
73,351417,28,2023-02-16,2023-02-17,892374,300,800,401.97,APROVADA,2023-02-16 23:07:00,2023-02-16
53,99449,8,2023-02-19,2023-02-23,985352,300,800,1122.45,APROVADA,2023-03-09 04:19:00,2023-03-09
52,361563,7,2023-02-07,2023-02-16,957212,200,700,942.73,APROVADA,2023-02-24 14:05:00,2023-02-24
78,396613,33,2023-02-17,,889871,800,300,2258.94,INICIADA,2023-02-18 13:08:00,2023-02-18
72,408869,27,2023-01-16,,866857,200,700,1812.84,INICIADA,2023-01-17 12:26:00,2023-01-17
64,392378,19,2023-02-05,2023-02-10,932969,400,900,1160.82,APROVADA,2023-02-21 06:37:00,2023-02-21
71,282945,26,2023-02-14,2023-02-16,999220,100,600,438.26,APROVADA,2023-02-15 06:18:00,2023-02-15
50,53732,5,2023-02-13,,954790,0,500,1750.99,CANCELADA,2023-02-15 13:32:00,2023-02-15
74,253691,29,2023-02-06,2023-02-08,939263,400,900,771.24,APROVADA,2023-02-08 13:25:00,2023-02-08
60,102840,15,2023-01-25,2023-01-29,866038,0,500,2085.88,APROVADA,2023-01-26 03:18:00,2023-01-26
72,408869,27,2023-01-16,2023-01-20,866857,200,700,1812.84,APROVADA,2023-01-24 12:26:00,2023-01-24
77,234134,32,2023-02-18,2023-02-22,853173,700,200,1799.3,APROVADA,2023-03-28 22:31:00,2023-03-28
60,102840,15,2023-01-25,2023-01-31,866038,0,500,2085.88,APROVADA,2023-02-11 03:18:00,2023-02-11
54,230725,9,2023-01-20,,845447,400,900,2073.39,INICIADA,2023-01-20 22:59:00,2023-01-20
51,225050,6,2023-01-20,,840293,100,600,1908.82,CANCELADA,2023-01-20 11:43:00,2023-01-20
64,392378,19,2023-02-05,2023-02-08,932969,400,900,1160.82,APROVADA,2023-02-06 06:37:00,2023-02-06
