purchase_id,purchase_partition,subsidiary,transaction_datetime,transaction_date
61,100,nacional,2023-02-15 01:16:00,2023-02-15
77,700,internacional,2023-02-20 09:38:00,2023-02-20
67,700,nacional,2023-02-13 23:30:00,2023-02-13
54,400,internacional,2023-01-21 20:38:00,2023-01-21
51,100,internacional,2023-01-26 18:36:00,2023-01-26
56,600,internacional,2023-03-01 10:56:00,2023-03-01
66,600,internacional,2023-02-11 05:18:00,2023-02-11
65,500,nacional,2023-01-22 07:03:00,2023-01-22
68,800,nacional,2023-02-06 13:21:00,2023-02-06
64,400,internacional,2023-03-07 09:54:00,2023-03-07
75,500,nacional,2023-02-17 05:56:00,2023-02-17
78,800,internacional,2023-02-20 00:40:00,2023-02-20
56,600,internacional,2023-03-01 10:56:00,2023-03-01
53,300,internacional,2023-02-24 20:24:00,2023-02-24
79,900,internacional,2023-02-08 13:11:00,2023-02-08
70,0,nacional,2023-02-03 07:25:00,2023-02-03
62,200,internacional,2023-02-04 22:51:00,2023-02-04
76,600,internacional,2023-02-27 23:26:00,2023-02-27
69,900,nacional,2023-01-24 06:05:00,2023-01-24
63,300,nacional,2023-01-25 02:03:00,2023-01-25
60,0,internacional,2023-01-28 17:29:00,2023-01-28
65,500,internacional,2023-02-23 07:03:00,2023-02-23
55,500,internacional,2023-02-17 07:25:00,2023-02-17
71,100,nacional,2023-02-21 18:02:00,2023-02-21
50,0,nacional,2023-02-18 07:10:00,2023-02-18
58,800,nacional,2023-02-04 17:09:00,2023-02-04
52,200,internacional,2023-02-11 14:39:00,2023-02-11
74,400,nacional,2023-02-13 05:11:00,2023-02-13
60,0,nacional,2023-02-15 17:29:00,2023-02-15
72,200,nacional,2023-01-23 12:26:00,2023-01-23
57,700,internacional,2023-01-23 03:42:00,2023-01-23
64,400,nacional,2023-02-11 09:54:00,2023-02-11
73,300,internacional,2023-02-23 13:12:00,2023-02-23
59,900,internacional,2023-02-22 16:07:00,2023-02-22
