purchase_id,snapshot_date,transaction_date,order_date,release_date,subsidiary,purchase_status,purchase_value,is_valid_for_gmv
52,2026-01-21,2023-02-24,2023-02-07,2023-02-16,internacional,APROVADA,942.73,True
53,2026-01-21,2023-03-09,2023-02-19,2023-02-23,internacional,APROVADA,1122.45,True
55,2026-01-21,2023-02-13,2023-02-12,2023-02-15,internacional,APROVADA,2427.48,True
56,2026-01-21,2023-02-25,2023-02-24,2023-02-28,internacional,APROVADA,1180.13,True
58,2026-01-21,2023-02-03,2023-02-01,2023-02-05,nacional,APROVADA,941.89,True
60,2026-01-21,2023-02-11,2023-01-25,2023-01-31,nacional,APROVADA,2085.88,True
61,2026-01-21,2023-02-15,2023-02-15,2023-02-19,nacional,APROVADA,2016.79,True
62,2026-01-21,2023-02-12,2023-02-02,2023-02-08,internacional,APROVADA,370.89,True
64,2026-01-21,2023-03-12,2023-02-05,2023-02-10,internacional,APROVADA,1160.82,True
66,2026-01-21,2023-02-07,2023-02-05,2023-02-06,internacional,APROVADA,1728.94,True
